campaign_name,adset_name,date,spend,impressions,clicks,ctr,purchases,revenue,roas,creative_type,creative_message,audience_type,platform,country
A,Adset 1,01-01-2025,640.09,235597,4313,0.0183,80,1514.28,2.37,Image,Breathable organic cotton that moves with you — limited offer on men briefs.,Broad,Facebook,US
A,Adset 1,02-01-2025,373.75,276194,5429,0.0197,94,4152.81,11.11,Video,No ride‑up guarantee — best‑selling men briefs back in stock.,Broad,Facebook,US
A,Adset 1,03-01-2025,703.79,466572,9830,0.0211,240,4893.43,6.95,UGC,Cooling mesh panels for workouts — men boxers you’ll actually love.,Broad,Facebook,US
A,Adset 1,04-01-2025,441.5,193230,2424,0.0125,61,1330.1,3.01,Image,Cooling mesh panels for workouts — men athletic briefs you’ll actually love.,Lookalike,Facebook,US
A,Adset 1,05-01-2025,,404300,6372,0.0158,181,7027.2,51.52,Video,Summer‑ready essentials — sweat‑wicking men athletic briefs.,Lookalike,Instagram,IN
A,Adset 1,06-01-2025,579.03,180096,2356,0.0131,41,1545.67,2.67,Image,Breathable bamboo that moves with you — limited offer on men boxers.,Lookalike,Instagram,UK
A,Adset 1,07-01-2025,1179.8,251885,4958,0.0197,102,3931.2,3.33,Carousel,Cooling mesh panels for workouts — men boxers you’ll actually love.,Broad,Facebook,US
A,Adset 1,08-01-2025,362.78,24912,398,0.016,9,238.39,0.66,Image,Invisible under tees — seamless men boxers.,Lookalike,Instagram,UK
A,Adset 1,09-01-2025,774.2,138640,3297,0.0238,70,1692.43,2.19,UGC,"Wire‑free ease, cloud‑soft cups — men inner vests that fits right.",Broad,Facebook,US
A,Adset 1,10-01-2025,986.61,422525,7094,0.0168,198,7860.43,7.97,Image,No ride‑up guarantee — best‑selling men trunks back in stock.,Broad,Facebook,US
A,Adset 1,11-01-2025,1198.41,285985,4062,0.0142,90,2173.88,1.81,UGC,Seamless confidence for every day — new men athletic briefs.,Broad,Facebook,UK
A,Adset 1,12-01-2025,62.54,271459,4223,0.0156,72,1529.02,24.45,Carousel,3‑pack deal ends tonight — upgrade your men drawer with athletic briefs.,Broad,Facebook,UK
A,Adset 1,13-01-2025,861.17,176187,3487,0.0198,0,2364.53,2.75,Video,Hot & comfy: men briefs now 20% off — feel the difference.,Broad,Facebook,IN
A,Adset 1,14-01-2025,320.85,321658,2925,0.0091,66,1446.2,4.51,Video,Seamless confidence for every day — new men athletic briefs.,Broad,Instagram,UK
A,Adset 1,15-01-2025,699.17,134964,2740,0.0203,74,1806.8,2.58,Image,Seamless confidence for every day — new men trunks.,Broad,Facebook,UK
A,Adset 1,16-01-2025,338.87,57867,1356,0.0234,34,649.43,1.92,UGC,"Push comfort, not wires — everyday men trunks.",Retargeting,Facebook,US
A,Adset 1,17-01-2025,575.27,20426,197,0.0096,5,177.1,0.31,Video,Hot & comfy: men inner vests now 20% off — feel the difference.,Broad,Facebook,IN
A,Adset 1,18-01-2025,697.57,81860,1228,0.015,24,1031.2,1.48,Video,Cooling mesh panels for workouts — men briefs you’ll actually love.,Lookalike,Facebook,US
A,Adset 1,19-01-2025,296.84,347271,6665,0.0192,199,6427.81,21.65,UGC,"All‑day comfort, zero pinch — try our men trunks!",Broad,Facebook,US
A,Adset 1,20-01-2025,633.8,333615,5872,0.0176,0,3910.48,6.17,Image,Hot & comfy: men inner vests now 20% off — feel the difference.,Broad,Facebook,US
A,Adset 1,21-01-2025,794.13,338152,6489,0.0192,206,4272.38,5.38,Video,"Push comfort, not wires — everyday men boxers.",Retargeting,Facebook,US
A,Adset 1,22-01-2025,536.57,373787,4697,0.0126,133,4726.83,8.81,Video,Breathable microfiber that moves with you — limited offer on men inner vests.,Lookalike,Instagram,US
A,Adset 1,23-01-2025,825.98,300700,4489,0.0149,90,2264.44,2.74,Video,"All‑day comfort, zero pinch — try our men inner vests!",Broad,Facebook,US
A,Adset 1,24-01-2025,445.9,305067,,0.0175,177,4527.81,10.15,UGC,No ride‑up guarantee — best‑selling men briefs back in stock.,Retargeting,Facebook,US
A,Adset 1,25-01-2025,567.53,489752,7933,0.0162,225,9903.99,17.45,UGC,"Ultra‑soft waistband, no marks — premium men inner vests.",Broad,Instagram,US
